[큐텐 한국기업 목록 - 브랜드 확인 후 아래 aliases.csv에 추가],,
큐텐_회사명(법인명),브랜드명(storeName 정제),
TNS INC.,TNS GLOBAL,
ELLY COMPANY,OKI DOKI,
NAMU,Namu K,
MINDEULRESAJA,たんぽぽライオン,
ALife,ALife,
JUHA,JUHA,
From Korean,From Korean,
enclu,Boome,
haru mall,Haru Mall,
SNH,LILICOCO,
SOUL PRISM,SOUL PRISM,
KOREANSELLER312,koreanseller312,
ARINNA COSMETIC,ARINNA Qoo10,
Eco on,エコオン,
IKONIKO,ikoniko,
dtoclab inc,KKOK-DAM,
"daeun CO.,LTD.",BGL♡W,
LEE YESEO,momocare,
INICO TRADE CO.,NIKO MALL,
KOMETA,Daisy Mansion,
"design matter CO.,LTD.",mega salon,
Daisyyoung,skinqoo,
"SILVERLINE CO., LTD.",シルバーライン,
Gown,KKK-,
AO STORE,三兄妹,
"SJC CO.,LTD.",Dr.Blank,
Dot,Mandry,
"REBIRTHFEB CO.,LTD.",Today’s mood,
"GOTECH CO.,LTD.",DREAM-ZONE,
ddntmall,TONTON,
"CUSTICS CO.,LTD.",Custics,
H:OUR,H:OUR,
Fourneeds,KBC INTERNATIONAL,
"AWESOMEWORLD CO.,LTD.",kidsfactorymall,
METTRE GROUP INC.,モンディエス Qoo10,
ZERO TO SEVEN INC.,GOONGBE,
Anemone Trade,Anemone,
"agentesoft Co,. Ltd.",Gmarket,
JURI,ModernTown,
BABY DAY,bbfriends,
Aiwon international,Petite Giselle,
TN Korea,GreenStore,
"YOUNGSAENG TRADING CO.,LTD.",kittyccy,
"Tombo co.,ltd.",エクシオジャパン,
"THE YOONSEUL CO.,LTD.",K-TRENDS,
KONNEKT,KONNEKT,
tokslife,K-マーケット,

[사람인 회사명 목록 - 참고용],,
(유)프리티스킨인터내셔널,사람인,
(주) 비케이피,사람인,
(주) 케인앤클루컨설팅,사람인,
(주)360퍼스펙티브,사람인,
(주)45스페이스,사람인,
(주)HR컨설팅그룹,사람인,
(주)게비센,사람인,
(주)골든웨일즈,사람인,
(주)그래디언트,사람인,
(주)글로벌스카우트,사람인,
(주)글루가,사람인,
(주)김정문알로에,사람인,
(주)남유에프엔씨,사람인,
(주)네스티,사람인,
(주)네오미래,사람인,
(주)네이처리퍼블릭,사람인,
(주)넥스트플레이어,사람인,
(주)뉴트리원,사람인,
(주)다솜인터내셔널,사람인,
(주)다인소재,사람인,
(주)달바글로벌,사람인,
(주)닷밀,사람인,
(주)닷츠코퍼레이션,사람인,
(주)더블유에스미디어,사람인,
(주)더스킨팩토리,사람인,
(주)더아이엠,사람인,
(주)더엑시스,사람인,
(주)더와이즈,사람인,
(주)더파운더즈,사람인,
(주)더퓨어랩,사람인,
(주)더프레임리스,사람인,
(주)더플러스인터렉티브,사람인,
(주)데아드,사람인,
(주)데이바이미,사람인,
(주)데이지에스앤씨,사람인,
(주)덱스터크레마,사람인,
(주)도도레이블,사람인,
(주)동구밭,사람인,
(주)듀이트리,사람인,
(주)드림인사이트,사람인,
(주)디에스네이처,사람인,
(주)디에프에스컴퍼니,사람인,
(주)디엔코스메틱스,사람인,
(주)디와이글로벌코리아,사람인,
(주)디투씨랩,사람인,
(주)딥포인트,사람인,
(주)라온글로벌,사람인,
(주)라온서치,사람인,
(주)라이프스타일프로젝트,사람인,
(주)라큐로스,사람인,
(주)로지스밸리비앤에프,사람인,
(주)루씨드,사람인,
(주)리버스펩,사람인,
(주)리브,사람인,
(주)리터니티,사람인,
(주)리프타일,사람인,
